Best Acc	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.000000	1.029854	0.772165	63.533056	70.523283	
70.523283	0.738343	0.614925	75.118061	76.836293	
76.836293	0.619565	0.533815	78.645215	78.372538	
78.372538	0.549002	0.495173	81.301649	79.524723	
79.524723	0.511343	0.474741	83.057847	79.860777	
79.860777	0.468663	0.454413	84.179453	80.580892	
80.580892	0.445822	0.420589	84.755014	81.781084	
81.781084	0.421116	0.415694	86.230811	82.453191	
82.453191	0.397141	0.410122	86.481696	82.933268	
82.933268	0.382713	0.405117	87.278627	83.317330	
83.317330	0.367307	0.394712	87.721366	84.205472	
84.205472	0.354138	0.390140	88.105073	84.877579	
84.877579	0.330627	0.380859	89.182405	84.469514	
84.877579	0.322442	0.375794	89.462807	84.973594	
84.973594	0.313321	0.392584	89.979336	84.181468	
84.973594	0.301712	0.373404	90.230221	85.069610	
85.069610	0.292855	0.413490	90.451591	84.781564	
85.069610	0.278379	0.398833	91.100942	84.973595	
85.069610	0.274394	0.384519	91.337069	84.997598	
85.069610	0.267681	0.389135	91.632229	85.549687	
85.549687	0.259977	0.374831	92.045452	86.149782	
86.149782	0.252125	0.375931	91.956904	86.101775	
86.149782	0.244202	0.389887	92.340612	85.741717	
86.149782	0.242722	0.394671	92.650529	85.573690	
86.149782	0.233452	0.394052	92.842383	85.861736	
86.149782	0.226365	0.394229	93.344154	85.885740	
86.149782	0.218840	0.399255	93.727861	85.741717	
86.149782	0.217626	0.400479	93.713103	86.053767	
86.149782	0.211128	0.404023	93.654071	85.837733	
86.149782	0.206612	0.401856	94.391970	85.957752	
86.149782	0.203066	0.425397	93.978747	85.933748	
86.149782	0.199631	0.411109	94.391970	86.749879	
86.749879	0.187842	0.430305	94.539550	85.957752	
86.749879	0.189654	0.404139	94.539550	86.221794	
86.749879	0.183981	0.424030	94.347696	86.101775	
86.749879	0.182128	0.405384	94.731403	86.053767	
86.749879	0.175723	0.427603	95.321722	85.933748	
86.749879	0.171424	0.399866	95.292206	86.389821	
86.749879	0.172163	0.429944	95.129869	85.621698	
86.749879	0.170532	0.431155	95.041321	85.669706	
86.749879	0.163472	0.444361	95.557850	85.813729	
86.749879	0.156937	0.444735	96.162927	85.981756	
86.749879	0.156327	0.444162	95.764462	85.477675	
86.749879	0.157633	0.439373	95.439786	86.053767	
86.749879	0.150200	0.449790	96.059621	85.621698	
86.749879	0.157363	0.426474	95.572608	86.101775	
86.749879	0.145965	0.440480	96.354780	86.269802	
86.749879	0.145205	0.438507	96.118653	86.077771	
86.749879	0.147481	0.443277	96.030105	86.125779	
86.749879	0.146003	0.463757	96.103895	85.885740	
86.749879	0.138897	0.438585	96.399054	86.413825	
86.749879	0.134409	0.450162	96.812278	85.909744	
86.749879	0.133990	0.440409	96.649940	86.197790	
86.749879	0.135846	0.461404	96.340023	86.053767	
86.749879	0.128580	0.485120	97.048405	85.669706	
86.749879	0.131193	0.469422	96.428570	85.981756	
86.749879	0.130111	0.455098	96.649940	86.605855	
86.749879	0.128162	0.449504	96.900826	86.293806	
86.749879	0.125660	0.447737	96.930341	86.221794	
86.749879	0.124461	0.479349	96.797520	86.053767	
86.749879	0.127482	0.501566	96.708972	85.981756	
86.749879	0.116369	0.456719	97.417355	86.077771	
86.749879	0.124931	0.455875	96.664698	86.485836	
86.749879	0.124265	0.471302	96.635182	86.077771	
86.749879	0.119362	0.453528	96.900826	86.389821	
86.749879	0.116036	0.458144	97.033647	86.077771	
86.749879	0.113247	0.447888	97.358323	86.461832	
86.749879	0.116698	0.466973	97.077921	86.437829	
86.749879	0.110093	0.464613	97.446871	86.461832	
86.749879	0.110989	0.477782	97.269775	86.149782	
86.749879	0.108340	0.474591	97.505902	86.389821	
86.749879	0.111546	0.494187	97.225501	86.365817	
86.749879	0.109131	0.476186	97.210743	86.485836	
86.749879	0.110084	0.468372	97.343565	86.413825	
86.749879	0.107137	0.507831	97.609208	86.029763	
86.749879	0.105898	0.486670	97.550176	85.669705	
86.749879	0.100949	0.479650	97.594450	86.125779	
86.749879	0.096845	0.493256	97.978158	85.909744	
86.749879	0.102645	0.495830	97.771546	85.981756	
86.749879	0.103300	0.507255	97.520660	86.005759	
86.749879	0.099193	0.501042	97.682998	85.861736	
86.749879	0.101514	0.485101	97.550176	85.933748	
86.749879	0.101633	0.484617	97.609208	86.173786	
86.749879	0.097682	0.467474	97.742030	86.221794	
86.749879	0.098288	0.507794	97.815820	85.789725	
86.749879	0.101745	0.465705	97.564934	86.557848	
86.749879	0.098689	0.468352	97.579692	86.341813	
86.749879	0.093543	0.479540	97.771546	86.221794	
86.749879	0.098705	0.480665	97.446871	86.029763	
86.749879	0.095271	0.501573	97.815820	86.629859	
