Best Acc	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
86.893901	0.048915	0.588406	98.199527	86.797886	
86.893901	0.060584	0.597013	97.815820	86.293805	
86.893901	0.053902	0.603483	98.155253	86.797886	
86.893901	0.049743	0.614938	98.288075	86.269801	
86.893901	0.045388	0.614450	98.406139	86.461832	
86.893901	0.048725	0.628337	98.376623	86.365817	
86.893901	0.052493	0.610279	98.288075	86.485836	
86.893901	0.048589	0.608259	98.302833	86.269802	
86.893901	0.047376	0.613190	98.479929	86.677867	
86.893901	0.051600	0.598288	98.332349	86.725874	
86.893901	0.056979	0.608278	98.037189	86.605855	
86.893901	0.052165	0.646625	98.170011	85.981755	
86.893901	0.056149	0.633470	97.889610	85.933748	
86.893901	0.045164	0.652732	98.435655	85.621698	
86.893901	0.052308	0.636312	98.273317	86.269801	
86.893901	0.046231	0.604854	98.465171	86.557848	
86.893901	0.045978	0.644977	98.420897	85.885740	
86.893901	0.047830	0.628030	98.450413	86.557848	
86.893901	0.047250	0.619241	98.288075	86.221794	
86.893901	0.049369	0.607198	98.420897	86.677867	
86.893901	0.051133	0.618915	98.243801	86.677867	
86.893901	0.047420	0.625497	98.406139	86.341813	
86.893901	0.046358	0.636569	98.302833	86.101775	
86.893901	0.046894	0.617720	98.229043	86.173786	
86.893901	0.043755	0.632868	98.494687	86.533844	
86.893901	0.046262	0.629867	98.494687	86.413825	
86.893901	0.046639	0.642740	98.376623	86.581852	
86.893901	0.047314	0.622186	98.420897	86.389821	
86.893901	0.044771	0.611891	98.538961	86.077771	
86.893901	0.044479	0.657631	98.420897	85.573690	
86.893901	0.046226	0.638023	98.465171	86.293805	
86.893901	0.050626	0.665713	98.214285	85.933748	
86.893901	0.046444	0.629377	98.317591	86.509840	
86.893901	0.047110	0.640438	98.406139	86.509840	
86.893901	0.049410	0.638032	98.317591	86.173786	
86.893901	0.050867	0.635382	98.125737	86.605855	
86.893901	0.046918	0.647073	98.317591	86.437828	
86.893901	0.045909	0.625921	98.612750	86.245798	
86.893901	0.051290	0.645623	98.538961	86.605856	
86.893901	0.045491	0.614474	98.435655	86.509840	
86.893901	0.048614	0.613391	98.288075	86.077771	
86.893901	0.045863	0.627306	98.420897	86.077771	
86.893901	0.044964	0.622886	98.450413	86.557848	
86.893901	0.042686	0.636587	98.612750	85.885740	
86.893901	0.039936	0.666665	98.612750	85.885740	
86.893901	0.047377	0.631353	98.302833	86.197790	
86.893901	0.043927	0.646790	98.568477	86.125778	
86.893901	0.041360	0.651113	98.450413	86.173786	
86.893901	0.041091	0.630112	98.671782	86.365817	
86.893901	0.045393	0.646499	98.406139	86.413825	
86.893901	0.043685	0.617387	98.524203	86.293805	
86.893901	0.046773	0.654284	98.420897	86.101775	
86.893901	0.042843	0.662822	98.524203	86.365817	
86.893901	0.044074	0.667120	98.553719	86.389821	
86.893901	0.039684	0.661363	98.509445	86.269802	
86.893901	0.045429	0.662868	98.509445	86.317809	
86.893901	0.045380	0.694235	98.435655	86.197790	
86.893901	0.036312	0.657896	98.848878	86.437829	
86.893901	0.041917	0.642441	98.583235	86.365817	
86.893901	0.046321	0.626233	98.317591	86.509840	
86.893901	0.039403	0.643172	98.789846	86.461832	
86.893901	0.045682	0.638372	98.332349	86.341813	
86.893901	0.035539	0.638784	98.730814	86.509840	
86.893901	0.040732	0.674487	98.568477	86.317809	
86.893901	0.044123	0.686595	98.568477	86.125779	
86.893901	0.037386	0.671275	98.863636	85.525683	
86.893901	0.039766	0.636489	98.612750	86.293805	
86.893901	0.038184	0.637345	98.745572	86.461832	
86.893901	0.037473	0.635112	98.819362	86.413825	
86.893901	0.047246	0.620264	98.376623	86.821890	
86.893901	0.039002	0.648018	98.789846	86.389821	
86.893901	0.036433	0.643518	98.701298	86.413825	
86.893901	0.040858	0.650028	98.642266	86.101775	
86.893901	0.038946	0.642676	98.701298	86.149782	
86.893901	0.039987	0.659580	98.671782	86.101775	
86.893901	0.043618	0.657106	98.657024	86.797886	
86.893901	0.043410	0.650539	98.583235	86.317809	
86.893901	0.040502	0.651674	98.553719	86.149782	
86.893901	0.035678	0.660418	98.789846	86.053767	
86.893901	0.037419	0.645515	98.612750	86.269802	
86.893901	0.038817	0.685639	98.465171	86.101775	
86.893901	0.046110	0.658554	98.376623	86.149782	
86.893901	0.040538	0.659193	98.597992	86.173786	
86.893901	0.043224	0.656555	98.479929	86.125779	
86.893901	0.040710	0.644426	98.642266	85.957752	
86.893901	0.042155	0.638595	98.583235	86.221794	
86.893901	0.038599	0.647067	98.671782	86.605855	
86.893901	0.033313	0.629946	98.804604	86.725874	
86.893901	0.038131	0.623172	98.671782	86.773882	
86.893901	0.035801	0.652006	98.878394	86.533844	
86.893901	0.039233	0.671601	98.834120	86.413825	
86.893901	0.036354	0.686657	98.863636	86.173786	
86.893901	0.033746	0.692006	98.848878	86.341813	
86.893901	0.038409	0.670852	98.701298	86.797886	
86.893901	0.037663	0.683218	98.701298	86.029763	
86.893901	0.033882	0.680582	98.819362	86.125779	
86.893901	0.037855	0.693528	98.760330	85.741717	
86.893901	0.030336	0.701239	98.996458	85.981755	
86.893901	0.036215	0.656139	98.745572	86.197790	
86.893901	0.033156	0.664216	98.937426	86.221794	
86.893901	0.033431	0.651679	98.848878	86.485836	
86.893901	0.041396	0.674520	98.568477	86.245798	
86.893901	0.038976	0.653249	98.568477	86.245798	
86.893901	0.039977	0.660000	98.509445	86.149783	
86.893901	0.038423	0.655984	98.834120	86.581852	
86.893901	0.035044	0.662568	98.775088	86.293806	
86.893901	0.040637	0.676824	98.568477	86.461832	
86.893901	0.036679	0.678001	98.848878	86.125779	
86.893901	0.038932	0.657048	98.642266	86.365817	
86.893901	0.038790	0.683089	98.730814	85.909744	
86.893901	0.040876	0.668555	98.642266	85.909744	
86.893901	0.037595	0.674171	98.730814	86.269802	
86.893901	0.037486	0.701881	98.789846	86.125779	
86.893901	0.036431	0.652675	98.701298	86.413825	
86.893901	0.030252	0.653991	99.025974	86.149782	
86.893901	0.032970	0.676812	99.025974	86.029763	
86.893901	0.034274	0.665333	98.878394	86.581851	
86.893901	0.038474	0.693974	98.627508	86.101775	
86.893901	0.034374	0.683169	98.834120	86.293806	
86.893901	0.039843	0.683991	98.671782	86.389821	
86.893901	0.040194	0.661379	98.627508	86.005759	
86.893901	0.034917	0.632244	98.789846	86.197790	
86.893901	0.038196	0.666758	98.716056	86.341813	
86.893901	0.040733	0.700176	98.642266	85.741717	
86.893901	0.035727	0.691202	98.893152	86.341813	
86.893901	0.038530	0.661001	98.642266	86.077771	
86.893901	0.036619	0.649129	98.642266	86.173786	
86.893901	0.030981	0.660409	99.040732	86.413825	
86.893901	0.033527	0.658496	98.863636	86.077771	
86.893901	0.038584	0.655282	98.745572	86.221794	
86.893901	0.036374	0.659351	98.775088	86.101775	
86.893901	0.037952	0.670644	98.686540	86.101775	
86.893901	0.039264	0.660443	98.716056	86.125779	
86.893901	0.040705	0.655070	98.671782	86.173786	
86.893901	0.034301	0.654361	98.907910	86.269802	
86.893901	0.035438	0.639714	98.716056	86.317809	
86.893901	0.036569	0.646472	98.819362	86.413825	
86.893901	0.033736	0.665448	98.907910	86.269802	
86.893901	0.037220	0.687703	98.701298	86.029763	
86.893901	0.035013	0.697290	98.745572	85.957752	
86.893901	0.033354	0.674552	98.937426	86.101775	
86.893901	0.040002	0.647403	98.642266	86.269802	
86.893901	0.036086	0.651555	98.819362	86.149783	
86.893901	0.036966	0.654262	98.863636	86.149783	
86.893901	0.037261	0.642287	98.745572	86.365817	
86.893901	0.031097	0.644397	98.981700	86.413825	
86.893901	0.035882	0.628260	98.863636	86.773882	
86.893901	0.036996	0.642593	98.597992	86.605855	
86.893901	0.033936	0.642636	98.981700	86.533844	
86.893901	0.039626	0.662504	98.657024	86.413825	
86.893901	0.037660	0.664237	98.760330	86.437828	
86.893901	0.033244	0.694431	98.937426	85.789725	
86.893901	0.037109	0.669228	98.848878	86.581851	
86.893901	0.033437	0.669018	98.907910	86.581851	
86.893901	0.034718	0.634885	98.701298	86.677867	
86.893901	0.037991	0.673449	98.642266	86.437828	
86.893901	0.027404	0.664349	99.114522	86.245798	
86.893901	0.033048	0.630356	98.848878	87.277963	
87.277963	0.036388	0.645903	98.834120	86.413825	
87.277963	0.031765	0.666424	98.922668	86.389821	
87.277963	0.037097	0.671879	98.716056	86.125779	
87.277963	0.031681	0.650645	99.025974	86.485836	
87.277963	0.036162	0.653741	98.775088	86.485836	
87.277963	0.033713	0.657739	98.878394	86.509840	
87.277963	0.033643	0.649638	98.893152	86.557848	
87.277963	0.032295	0.640796	98.907910	86.509840	
87.277963	0.034068	0.628648	98.937426	86.509840	
87.277963	0.030682	0.647099	99.070248	86.773882	
87.277963	0.036886	0.631197	98.642266	86.701871	
87.277963	0.030232	0.645945	98.981700	86.485836	
87.277963	0.035912	0.661010	98.775088	86.125779	
87.277963	0.033434	0.653930	98.878394	86.629859	
87.277963	0.036096	0.636138	98.671782	86.149783	
87.277963	0.031704	0.671662	98.922668	86.221794	
87.277963	0.032058	0.653410	98.981700	86.245798	
87.277963	0.034226	0.658299	98.819362	86.581851	
87.277963	0.035014	0.655075	98.848878	86.389821	
87.277963	0.033409	0.667873	98.804604	86.509840	
87.277963	0.033388	0.663498	98.952184	86.677867	
87.277963	0.031125	0.680004	98.922668	86.605856	
87.277963	0.030400	0.647994	99.085006	86.677867	
87.277963	0.029121	0.659073	99.129280	86.773882	
87.277963	0.034445	0.664806	98.760330	86.653863	
87.277963	0.036294	0.657737	98.760330	86.701871	
87.277963	0.027938	0.665401	99.144038	86.725875	
87.277963	0.034474	0.676518	98.804604	86.509840	
87.277963	0.029956	0.677191	99.011216	86.269802	
87.277963	0.034244	0.650776	98.789846	86.701871	
87.277963	0.031603	0.665156	98.878394	86.341813	
87.277963	0.039576	0.650247	98.494687	86.269801	
87.277963	0.032875	0.667413	98.966942	86.365817	
87.277963	0.033765	0.649098	98.922668	86.533844	
87.277963	0.035423	0.660248	98.760330	86.341813	
87.277963	0.031125	0.662835	98.981700	86.749878	
87.277963	0.029115	0.655339	99.099764	86.965913	
87.277963	0.029028	0.657205	99.129280	86.413825	
87.277963	0.032256	0.663601	98.937426	86.485836	
87.277963	0.029537	0.672508	99.085006	86.461832	
87.277963	0.030482	0.649960	99.070248	86.941909	
87.277963	0.029803	0.646387	99.099764	86.797886	
87.277963	0.029991	0.627632	99.099764	86.869898	
87.277963	0.036142	0.636484	98.745572	86.869897	
87.277963	0.029091	0.628090	98.996458	86.989917	
87.277963	0.026434	0.642210	99.129280	86.605855	
87.277963	0.026256	0.639862	99.114522	86.701871	
87.277963	0.028797	0.643372	99.040732	86.653863	
87.277963	0.028891	0.644133	98.996458	86.917905	
87.277963	0.028333	0.628763	99.011216	86.989917	
87.277963	0.027455	0.629832	99.129280	86.821890	
87.277963	0.027949	0.638521	98.981700	86.821890	
87.277963	0.024017	0.640469	99.262101	86.845894	
87.277963	0.029334	0.629351	99.099764	86.869898	
87.277963	0.027736	0.640052	99.203069	86.725875	
87.277963	0.025886	0.630649	99.188311	86.605855	
87.277963	0.029184	0.625699	99.114522	86.749878	
87.277963	0.028108	0.632431	99.129280	86.965913	
87.277963	0.029873	0.622466	99.011216	87.037925	
87.277963	0.028919	0.637384	99.040732	86.749878	
87.277963	0.027421	0.634480	99.099764	86.725874	
87.277963	0.029419	0.634154	99.040732	86.869898	
87.277963	0.028038	0.635948	99.114522	86.821890	
87.277963	0.027940	0.638215	98.996458	86.773882	
87.277963	0.027921	0.614427	99.129280	86.893901	
87.277963	0.026783	0.627468	99.070248	86.821890	
87.277963	0.026036	0.621930	99.232585	86.773882	
87.277963	0.029592	0.641094	99.025974	86.509840	
87.277963	0.027140	0.617773	99.144038	86.821890	
87.277963	0.025600	0.627049	99.203069	86.821890	
87.277963	0.027041	0.621806	99.173553	86.869897	
87.277963	0.028081	0.637410	99.144038	86.869898	
87.277963	0.027069	0.633726	99.173553	86.941909	
87.277963	0.026342	0.631110	99.188311	86.869897	
87.277963	0.025758	0.623817	99.247343	87.157944	
87.277963	0.027497	0.618254	99.085006	87.061928	
87.277963	0.027455	0.614268	99.188311	87.133940	
87.277963	0.024219	0.625091	99.203069	86.821890	
87.277963	0.024713	0.621063	99.158795	86.941909	
87.277963	0.026136	0.617695	99.188311	87.085932	
87.277963	0.029514	0.627908	99.085006	86.965913	
87.277963	0.023597	0.625529	99.380165	86.845894	
87.277963	0.022056	0.636165	99.306375	87.085932	
87.277963	0.025243	0.626765	99.173553	86.893901	
87.277963	0.024750	0.629783	99.276859	86.845894	
87.277963	0.023196	0.625180	99.321133	86.749878	
